id,value
Лузин Н Н,
Лузин Н Н.Александров П С,
Лузин Н Н.Александров П С.Архангельский Н А,3938
Лузин Н Н.Александров П С.Веденисов Н Б,3812
Лузин Н Н.Александров П С.Ефремович В А,6714
Лузин Н Н.Александров П С.Курош А Г,743
Лузин Н Н.Александров П С.Локуциевский О В,3534
Лузин Н Н.Александров П С.Мальцев А А,
Лузин Н Н.Александров П С.Мищенко Е Ф,
Лузин Н Н.Александров П С.Пасынков Б А,
Лузин Н Н.Александров П С.Пономарев,
Лузин Н Н.Александров П С.Понтрягин Л С,
Лузин Н Н.Александров П С.Ситников К А,
Лузин Н Н.Александров П С.Смирнов Ю М,
Лузин Н Н.Александров П С.Тихонов А Н,
Лузин Н Н.Александров П С.Тумаркин,
Лузин Н Н.Александров П С.Федорчук В В,
Лузин Н Н.Александров П С.Франкль,
Лузин Н Н.Александров П С.Чогошвили Г С,
Лузин Н Н.Александров П С.Щепин Е В,
Лузин Н Н.Бари Н К,
Лузин Н Н.Вельяминов,
Лузин Н Н.Гливенко В И,
Лузин Н Н.Келдыш Л В,
Лузин Н Н.Колмогоров А Н,
Лузин Н Н.Колмогоров А Н.Алексеев В М,
Лузин Н Н.Колмогоров А Н.Арнольд В И,
Лузин Н Н.Колмогоров А Н.Бавли Г М,
Лузин Н Н.Колмогоров А Н.Баренблатт Г И,
Лузин Н Н.Колмогоров А Н.Беляев Ю К,
Лузин Н Н.Колмогоров А Н.Большев Л Н,
Лузин Н Н.Колмогоров А Н.Боровков А А,
Лузин Н Н.Колмогоров А Н.Булинский А В,	
Лузин Н Н.Колмогоров А Н.Вентцель Е С,
Лузин Н Н.Колмогоров А Н.Верченко И Я,
Лузин Н Н.Колмогоров А Н.Витушкин А Г,
Лузин Н Н.Колмогоров А Н.Гельфанд И М,
Лузин Н Н.Колмогоров А Н.Гельфанд И М.Кириллов А А,
Лузин Н Н.Колмогоров А Н.Гельфанд И М.Кириллов А А.Агранович И М,
Лузин Н Н.Колмогоров А Н.Гельфанд И М.Кириллов А А.Окуньков А Ю,
Лузин Н Н.Колмогоров А Н.Гельфанд И М.Костюченко А Г,
Лузин Н Н.Колмогоров А Н.Гельфанд И М.Садовничий В А,
Лузин Н Н.Колмогоров А Н.Гельфанд И М.Шилов Г Е,
Лузин Н Н.Колмогоров А Н.Гельфанд И М.Шилов Г Е.Хелемский А Я,
Лузин Н Н.Колмогоров А Н.Гнеденко Б В,
Лузин Н Н.Колмогоров А Н.Гончар А А,
Лузин Н Н.Колмогоров А Н.Добрушин Р Л,
Лузин Н Н.Колмогоров А Н.Дынкин Е Б,.
Лузин Н Н.Колмогоров А Н.Дынкин Е Б.Винберг Э Б,
Лузин Н Н.Колмогоров А Н.Дынкин Е Б.Скороход А В,,
Лузин Н Н.Колмогоров А Н.Журбенко И Г,
Лузин Н Н.Колмогоров А Н.Золотарев В М,
Лузин Н Н.Колмогоров А Н.Кучеренко,
Лузин Н Н.Колмогоров А Н.Ломов,
Лузин Н Н.Колмогоров А Н.Мальцев А И,
Лузин Н Н.Колмогоров А Н.Мальцев А И.Ершов Ю Л,
Лузин Н Н.Колмогоров А Н.Мартин-Леф П,
Лузин Н Н.Колмогоров А Н.Мешалкин Л Д,
Лузин Н Н.Колмогоров А Н.Миллионщиков М Д,
Лузин Н Н.Колмогоров А Н.Михалевич В С,
Лузин Н Н.Колмогоров А Н.Молчанов С К,
Лузин Н Н.Колмогоров А Н.Монин А С,
Лузин Н Н.Колмогоров А Н.Никольский С М,
Лузин Н Н.Колмогоров А Н.Обухов А М,
Лузин Н Н.Колмогоров А Н.Пинскер М С,
Лузин Н Н.Колмогоров А Н.Прохоров Ю В,
Лузин Н Н.Колмогоров А Н.Розанов Ю А,
Лузин Н Н.Колмогоров А Н.Севастьянов Б А,
